id,project,file,function,func_body,has_mechanism,mechanism_found,notes
1,paddlehub,paddlehub/modules/image/object_detection/faster_rcnn_resnet50_coco2017/data_feed.py,padding_minibatch,"def padding_minibatch(batch_data, coarsest_stride=0, use_padded_im_info=True):
    max_shape_org = np.array(
        [data['image'].shape for data in batch_data]).max(axis=0)
    if coarsest_stride > 0:
        max_shape = np.zeros((3)).astype('int32')
        max_shape[1] = int(
            np.ceil(max_shape_org[1] / coarsest_stride) * coarsest_stride)
        max_shape[2] = int(
            np.ceil(max_shape_org[2] / coarsest_stride) * coarsest_stride)
    else:
        max_shape = max_shape_org.astype('int32')

    padding_image = list()
    padding_info = list()
    padding_shape = list()

    for data in batch_data:
        im_c, im_h, im_w = data['image'].shape
        # image
        padding_im = np.zeros((im_c, max_shape[1], max_shape[2]),
                              dtype=np.float32)
        padding_im[:, 0:im_h, 0:im_w] = data['image']
        padding_image.append(padding_im)
        # im_info
        data['im_info'][
            0] = max_shape[1] if use_padded_im_info else max_shape_org[1]
        data['im_info'][
            1] = max_shape[2] if use_padded_im_info else max_shape_org[2]
        padding_info.append(data['im_info'])
        padding_shape.append(data['im_shape'])

    padding_image = np.array(padding_image).astype('float32')
    padding_info = np.array(padding_info).astype('float32')
    padding_shape = np.array(padding_shape).astype('float32')
    return padding_image, padding_info, padding_shape",N,,
2,tensorlayer,tensorlayer/tests/layers/test_layers_convolution.py,test_layer_n7,"def test_layer_n7(self):

        # self.assertEqual(len(self.n7.all_layers), 8)
        # self.assertEqual(len(self.n7.all_params), 13)
        # self.assertEqual(self.n7.count_params(), 74880)
        self.assertEqual(len(self.n7._info[0].layer.all_weights), 2)
        self.assertEqual(self.n7.get_shape().as_list()[1:], [100, 100, 32])",N,,
3,pre-commit,pre-commit/tests/languages/golang_test.py,exe_exists_mck,"def exe_exists_mck():
    with mock.patch.object(lang_base, 'exe_exists') as mck:
        yield mck",N,,
4,pillow,pillow/src/PIL/_binary.py,i8,"def i8(c):
    return c if c.__class__ is int else c[0]",N,,
5,qutebrowser,qutebrowser/qutebrowser/browser/greasemonkey.py,add_script,"def add_script(self, script, force=False):
        """"""Add a GreasemonkeyScript to this manager.

        Args:
            script: The GreasemonkeyScript to add.
            force: Fetch and overwrite any dependencies which are
                   already locally cached.
        """"""
        if script.requires:
            log.greasemonkey.debug(
                f""Deferring script until requirements are fulfilled: {script}"")
            self._get_required_scripts(script, force)
        else:
            self._add_script(script)",N,,
6,tvm,tvm/tests/python/unittest/test_tir_transform_simplify.py,expected,"def expected(A: T.Buffer((16,), ""float32"")):
        for i in T.serial(16):
            if i == 5:
                A[i] = 0.0",N,,
7,networkx,networkx/networkx/algorithms/bipartite/tests/test_extendability.py,test_cubical_graph_is_2,"def test_cubical_graph_is_2():
    G = nx.cubical_graph()
    assert nx.bipartite.maximal_extendability(G) == 2",N,,
8,edgedb,edgedb/tests/test_edgeql_scope.py,test_edgeql_shape_intersection_semijoin_01,"async def test_edgeql_shape_intersection_semijoin_01(self):
        await self.assert_query_result(
            r'''
                select User { name } filter [is Bot].deck.name = 'Dragon'
            ''',
            [
                {""name"": ""Dave""}
            ]
        )",N,,
9,fairseq,fairseq/examples/adaptive_span/adaptive_span_attention.py,get_cache_size,"def get_cache_size(self):
        """"""determine how long the cache should be""""""
        trim_len = self.get_trim_len()
        # give a buffer of 64 steps since a span might increase
        # in future updates
        return min(self._max_span, self._max_span - trim_len + 64)",N,,
10,deepspeed,deepspeed/deepspeed/runtime/data_pipeline/data_sampling/indexed_dataset.py,doc_idx,"def doc_idx(self):
        return self._index.doc_idx",N,,
11,statsmodels,statsmodels/statsmodels/tsa/arima/tests/test_params.py,check,"def check(is_stationary='raise', is_invertible='raise'):
        assert_(not p.is_complete)
        assert_(not p.is_valid)
        if is_stationary == 'raise':
            assert_raises(ValueError, p.__getattribute__, 'is_stationary')
        else:
            assert_equal(p.is_stationary, is_stationary)
        if is_invertible == 'raise':
            assert_raises(ValueError, p.__getattribute__, 'is_invertible')
        else:
            assert_equal(p.is_invertible, is_invertible)",N,,
12,archivebox,archivebox/deb_dist/archivebox-0.5.3/build/lib/archivebox/index/sql.py,list_migrations,"def list_migrations(out_dir: Path=OUTPUT_DIR) -> List[Tuple[bool, str]]:
    from django.core.management import call_command
    out = StringIO()
    call_command(""showmigrations"", list=True, stdout=out)
    out.seek(0)
    migrations = []
    for line in out.readlines():
        if line.strip() and ']' in line:
            status_str, name_str = line.strip().split(']', 1)
            is_applied = 'X' in status_str
            migration_name = name_str.strip()
            migrations.append((is_applied, migration_name))

    return migrations",N,,
13,django,django/tests/auth_tests/models/with_many_to_many.py,create_superuser,"def create_superuser(self, username, orgs, password):
        user = self.model(username=username)
        user.set_password(password)
        user.save(using=self._db)
        user.orgs.add(*orgs)
        return user",N,,
14,jax,jax/tests/lax_control_flow_test.py,testWhileJVPWithGrowingNonzeroTangents,"def testWhileJVPWithGrowingNonzeroTangents(self):
    rng = self.rng()

    def cond(state):
      i, x, y, z = state
      return i < 2

    def body(state):
      i, x, y, z = state
      y = x * x
      z = y * y
      return i + 1, x, y, z

    y, z = rng.randn(2), rng.randn(2)
    def loop(loop_impl, x):
      return loop_impl(cond, body, (0, x, y, z))[1]

    loop_lax = partial(loop, lax.while_loop)
    loop_ref = partial(loop, while_loop_reference)

    x = rng.randn(2)
    ans = jax.jvp(loop_lax, (x,), (x,))
    expected = jax.jvp(loop_ref, (x,), (x,))
    self.assertAllClose(ans, expected, check_dtypes=False)

    jtu.check_grads(loop_lax, (x,), order=2, modes=[""fwd""])",N,,
15,dvc,dvc/tests/func/experiments/test_save.py,test_untracked_dvclock_is_included_in_exp,"def test_untracked_dvclock_is_included_in_exp(tmp_dir, scm, dvc):
    stage = dvc.stage.add(
        cmd=""echo foo"",
        name=""foo"",
    )
    scm.add_commit([""dvc.yaml""], message=""add dvc.yaml"")
    dvc.reproduce(stage.addressing)

    # dvc.reproduce automatically stages `dvc.lock`
    # force it to be untracked
    scm.reset()

    exp = dvc.experiments.save()
    fs = scm.get_fs(exp)
    assert fs.exists(""dvc.lock"")",N,,
16,scipy,scipy/scipy/stats/tests/test_distributions.py,test_edge_cases,"def test_edge_cases(self):
        with np.errstate(all='raise'):
            assert_equal(stats.triang.pdf(0, 0), 2.)
            assert_equal(stats.triang.pdf(0.5, 0), 1.)
            assert_equal(stats.triang.pdf(1, 0), 0.)

            assert_equal(stats.triang.pdf(0, 1), 0)
            assert_equal(stats.triang.pdf(0.5, 1), 1.)
            assert_equal(stats.triang.pdf(1, 1), 2)

            assert_equal(stats.triang.cdf(0., 0.), 0.)
            assert_equal(stats.triang.cdf(0.5, 0.), 0.75)
            assert_equal(stats.triang.cdf(1.0, 0.), 1.0)

            assert_equal(stats.triang.cdf(0., 1.), 0.)
            assert_equal(stats.triang.cdf(0.5, 1.), 0.25)
            assert_equal(stats.triang.cdf(1., 1.), 1)",N,,
17,peewee,peewee/peewee.py,truncate,"def truncate(self, part):
        return self.model._meta.database.truncate_date(part, self)",N,,
18,youcompleteme,youcompleteme/third_party/ycmd/third_party/jedi_deps/jedi/jedi/inference/names.py,__init__,"def __init__(self, value, name):
        self._value = value
        self._name = name",N,,
